date,ticker,open,high,low,close,volume
2024-05-03,MSFT,402.28,407.15,401.86,406.66,17446724
2024-05-06,MSFT,408.76,413.93,406.37,413.54,16996639
2024-05-07,MSFT,414.66,414.67,409.09,409.34,20018228
2024-05-08,MSFT,408.17,412.23,406.71,410.54,11792308
2024-05-09,MSFT,410.57,412.72,409.1,412.32,14647327
2024-05-10,MSFT,412.94,415.38,411.8,414.74,13395681
2024-05-13,MSFT,418.01,418.35,410.82,413.72,15440226
2024-05-14,MSFT,412.02,417.49,411.55,416.56,15109306
2024-05-15,MSFT,417.9,423.81,417.27,423.08,22239533
2024-05-16,MSFT,421.8,425.42,420.35,420.99,16915050
2024-05-17,MSFT,422.54,422.92,418.02,420.21,15352239
2024-05-20,MSFT,420.21,426.77,419.99,425.34,16235137
2024-05-21,MSFT,426.82,432.97,424.85,429.04,21451855
2024-05-22,MSFT,430.09,432.41,427.13,430.52,18073698
2024-05-23,MSFT,432.97,433.6,425.42,427.0,17189689
2024-05-24,MSFT,427.19,431.06,424.41,430.16,11855285
2024-05-28,MSFT,429.63,430.82,426.6,430.32,15714424
2024-05-29,MSFT,425.69,430.94,425.69,429.17,15517130
2024-05-30,MSFT,424.3,424.3,414.24,414.67,28388472
2024-05-31,MSFT,416.75,416.75,404.51,415.13,47949650
2024-06-03,MSFT,415.52,416.43,408.92,413.52,17477275
2024-06-04,MSFT,412.43,416.44,409.68,416.07,14343917
2024-06-05,MSFT,417.81,424.08,416.3,424.01,16988038
2024-06-06,MSFT,424.01,425.31,420.58,424.52,14832341
2024-06-07,MSFT,426.2,426.28,423.0,423.85,13608450
2024-06-10,MSFT,424.7,428.08,423.89,427.87,13653034
2024-06-11,MSFT,425.48,432.82,425.25,432.68,14550801
2024-06-12,MSFT,435.32,443.4,433.25,441.06,22366233
2024-06-13,MSFT,440.85,443.39,439.37,441.58,15960565
2024-06-14,MSFT,438.27,443.14,436.72,442.57,13567405
2024-06-17,MSFT,442.58,450.94,440.72,448.37,20765030
2024-06-18,MSFT,449.7,450.14,444.89,446.34,17003754
2024-06-20,MSFT,446.3,446.53,441.27,445.7,19850228
2024-06-21,MSFT,447.38,450.58,446.51,449.78,34486172
2024-06-24,MSFT,449.8,452.75,446.41,447.67,15913719
2024-06-25,MSFT,448.25,451.42,446.75,450.95,16747529
2024-06-26,MSFT,449.0,453.6,448.19,452.16,16463605
2024-06-27,MSFT,452.18,456.17,451.77,452.85,14669048
2024-06-28,MSFT,453.07,455.38,446.41,446.95,28342271
2024-07-01,MSFT,448.66,457.37,445.66,456.73,17662818
2024-07-02,MSFT,453.2,459.59,453.11,459.28,13900279
2024-07-03,MSFT,458.19,461.02,457.88,460.77,9932830
2024-07-05,MSFT,459.61,468.35,458.96,467.56,16000290
2024-07-08,MSFT,466.55,467.7,464.46,466.24,12962321
2024-07-09,MSFT,467.0,467.33,458.0,459.54,17228507
2024-07-10,MSFT,461.22,466.46,458.86,466.25,18183100
2024-07-11,MSFT,462.98,464.78,451.55,454.7,23099375
2024-07-12,MSFT,454.32,456.36,450.64,453.55,16270874
2024-07-15,MSFT,453.3,457.26,451.43,453.96,14429447
2024-07-16,MSFT,454.22,454.3,446.66,449.52,17175679
2024-07-17,MSFT,442.59,444.85,439.18,443.52,21754021
2024-07-18,MSFT,444.34,444.65,434.4,440.37,20532222
2024-07-19,MSFT,433.1,441.14,432.0,437.11,20805117
2024-07-22,MSFT,441.79,444.6,438.91,442.94,15808755
2024-07-23,MSFT,443.89,448.39,443.1,444.85,13068650
2024-07-24,MSFT,440.45,441.48,427.58,428.9,26805800
2024-07-25,MSFT,428.8,429.8,417.51,418.4,29943795
2024-07-26,MSFT,418.2,428.92,417.27,425.27,23583839
2024-07-29,MSFT,431.58,432.15,424.7,426.73,15125836
2024-07-30,MSFT,427.72,429.05,417.36,422.92,32570678
2024-07-31,MSFT,420.5,421.77,412.21,418.35,42891366
2024-08-01,MSFT,420.79,427.46,413.09,417.11,30278800
